participantID,modelType,fittedParams,AIC,BIC,logLikelihood,n_conditions,delta_AIC
qs,gaussian_sharedPrior,"[0.09290477857907717, 0.10802842661534662, 0.3957451553256033, 0.5576572485540272, 0.30868603026232455, 0.1831907960249964, 0.21584013749427414]",2526.077451464292,2555.3953003258703,-1256.038725732146,487,30.515735483186745
qs,logLinearMismatch_contextualPrior,"[0.06406789770742308, 0.21633203182844224, 1.0584669616048903, 0.9978899640247814, 0.6390496591512056, 0.08212742919472475, 0.20594466933273453, 0.5731810965723584]",2500.6136744022465,2534.1197873869073,-1242.3068372011232,487,5.05195842114108
qs,lognorm_sharedPrior,"[0.051966123309424, 0.22075152599585635, 0.708324893772342, 0.35837625021210473, 0.6822959284855097, 0.09582734815836176, 0.2263983062747883]",2497.2445187767185,2526.5623676382966,-1241.6222593883592,487,1.6828027956130427
ml,logLinearMismatch_sharedPrior,"[0.2495213642716408, 0.42345258831977844, 0.49574900269508365, 0.9999950339436532, 0.7916921997070313, 1.387894153594138e-05, 0.10803391486406326]",2532.7884021531663,2563.5785666949128,-1259.3942010765832,601,42.58675616297796
ml,gaussian_contextualPrior,"[0.111901193857193, 0.20966808319091795, 0.2019730472564697, 0.17194784064292906, 0.41420650482177734, 8.606314659118097e-05, 0.0006736874580383218, 0.7610878342151641]",2490.2016459901884,2525.39040546647,-1237.1008229950942,601,0.0
ml,lognorm_sharedPrior,"[0.25, 0.38309549808502197, 0.5121628046035767, 0.999999976181984, 0.7672549057006837, 0.008141446113586415, 0.1300576448440552]",2512.9688122418793,2543.7589767836257,-1249.4844061209396,601,22.767166251690924
ml,logLinearMismatch_contextualPrior,"[0.2127245662690257, 0.45246540042251576, 0.40692172554729034, 0.0010062330236396688, 1.1081506700720638, 0.0, 0.13622651435834995, 0.9983005176130799]",2521.0216778069,2556.2104372831814,-1252.51083890345,601,30.820031816711435
ml,lognorm_contextualPrior,"[0.21787116397172213, 0.5036105497181415, 0.30384154152125115, 0.17551211164519193, 1.2935303336381914, 6.692484021186829e-06, 0.11019826848059892, 0.7269358403593302]",2507.436969878892,2542.6257293551735,-1245.718484939446,601,17.235323888703533
ml,gaussian_sharedPrior,"[0.08637082803693835, 0.22707391503783414, 0.2767933413152085, 0.7951061036947891, 0.362781822568063, 0.00021922969178475582, 0.0008164288396002861]",2503.121144900565,2533.9113094423114,-1244.5605724502825,601,12.91949891037666
HH,logLinearMismatch_contextualPrior,"[0.0001526474952697754, 0.11491968810558317, 0.2882290166616439, 0.468108293569088, 0.7087183475494385, 0.0020505100488662636, 0.03807673901319503, 0.8902272109627724]",1759.8008590526445,1792.0847105128425,-871.9004295263222,418,10.031176369158175
HH,lognorm_contextualPrior,"[0.0012569681132845179, 0.10924232286077307, 0.2796809002582085, 0.9865902515485606, 0.43407426595222204, 0.011704888185249729, 0.05800242390378116, 0.999]",1751.838068348052,1784.1219198082501,-867.919034174026,418,2.068385664565767
HH,gaussian_sharedPrior,"[0.0, 0.1, 0.13167933184204228, 0.8391276389679044, 0.41298827133636223, 0.0, 0.027993045514040193]",1832.361357043629,1860.6097270713021,-909.1806785218145,418,82.59167436014263
HH,gaussian_contextualPrior,"[1.6806045118750168e-05, 0.10000000018758326, 0.10248121723319847, 0.3543075521632143, 0.3733706745464588, 0.0, 0.026895935317816103, 0.7770623049992684]",1814.0143833537509,1846.298234813949,-899.0071916768754,418,64.24470067026459
HH,lognorm_sharedPrior,"[1.7099208992010784e-05, 0.11452394397929311, 0.2762975070604614, 0.9428468398948087, 0.7520712530120637, 0.023022657098846364, 0.04764669894954493]",1749.7696826834863,1778.0180527111595,-867.8848413417431,418,0.0
HH,logLinearMismatch_sharedPrior,"[0.00023619498861079946, 0.11425733200136168, 0.28248452273968727, 0.874165944751637, 0.6515430171205663, 0.027148019363448836, 0.042330817244055644]",1763.091144734856,1791.3395147625292,-874.545572367428,418,13.321462051369735
as,gaussian_contextualPrior,"[0.02187144746421836, 0.13171528641832986, 0.2186862988461507, 0.44022085592001675, 0.37670893007889394, 0.05473590066976612, 0.0, 0.6341937246515532]",2255.9647265178874,2288.343703950258,-1119.9823632589437,423,2.3589352990238694
as,gaussian_sharedPrior,"[0.003926116228103627, 0.1363117790222168, 0.21517887115478518, 0.5784573668956757, 0.3720173263549805, 0.04600045680999755, 8.249282836914062e-05]",2255.098023200974,2283.429628454298,-1120.549011600487,423,1.4922319821102974
as,lognorm_contextualPrior,"[0.03866479227490344, 0.2521736449576383, 0.3540822553034467, 0.2136477974199677, 0.7602093844603224, 0.08188730897384175, 0.03809539748633596, 0.45726834272149497]",2253.807140956918,2286.186118389288,-1118.903570478459,423,0.20134973805443224
as,logLinearMismatch_contextualPrior,"[0.05518783522420563, 0.2285181885072961, 0.5437176029314286, 0.7373118608213496, 0.5752601276338101, 0.10173896683263592, 0.04793694472173228, 0.8778602561484556]",2256.174856089149,2288.5538335215197,-1120.0874280445746,423,2.569064870285729
as,logLinearMismatch_sharedPrior,"[0.0654298513836693, 0.2379038127046078, 0.5508434740593657, 0.7643451888463229, 0.599793801791966, 0.07340162400505505, 0.045478011784143735]",2256.4209158611247,2284.752521114449,-1121.2104579305624,423,2.815124642261253
as,lognorm_sharedPrior,"[0.05194668332726628, 0.24830571154514414, 0.47943866246246586, 0.6438909946637792, 0.6815008577266894, 0.09465915594401046, 0.03770946130831837]",2253.6057912188635,2281.9373964721876,-1119.8028956094317,423,0.0
ln,lognorm_contextualPrior,"[0.009139223249803763, 0.20136078737094065, 0.5469095479592214, 0.6592694909551065, 0.44648145176470283, 0.00013377882569329258, 0.061854340514400974, 0.11888729335272219]",2162.564832731021,2195.9551215622364,-1073.2824163655105,480,1.6238229416048853
ln,logLinearMismatch_sharedPrior,"[0.00010030623525381088, 0.19444156095385545, 0.7227109417319298, 0.0010000000000000564, 0.4346919190883637, 0.00017001479864120483, 0.05747035602107643]",2162.100610765013,2191.3171134923264,-1074.0503053825064,480,1.1596009755967316
ln,gaussian_contextualPrior,"[0.017631597153916795, 0.10000007303037362, 0.3014361538363573, 0.9989986911248833, 0.24124015298009904, 7.419931762064902e-08, 0.0928448910605141, 0.2578864632494198]",2184.3286827312613,2217.718971562477,-1084.1643413656307,480,23.387672941845267
ln,gaussian_sharedPrior,"[0.05100585147738457, 0.10000626187771555, 0.19898735051974648, 0.2152344288256951, 0.23502841934561736, 0.0, 0.13507648659870028]",2180.8800576279687,2210.0965603552822,-1083.4400288139843,480,19.939047838552597
ln,logLinearMismatch_contextualPrior,"[0.0, 0.19633621811866758, 0.7332161857187747, 0.9959849286526441, 0.4523711657524109, 5.7575851678842715e-05, 0.07282100021839141, 0.0017686113119125269]",2166.723907658396,2200.1141964896115,-1075.361953829198,480,5.782897868979944
ln,lognorm_sharedPrior,"[0.0, 0.21241049796342848, 0.10001488059759134, 0.0672292313948274, 0.5521110606193542, 0.0, 0.06713205836713314]",2160.941009789416,2190.1575125167296,-1073.470504894708,480,0.0
ip,logLinearMismatch_contextualPrior,"[0.15831147648192995, 0.22309503708938105, 1.1499534868974772, 0.0010951214232067796, 0.5456982645992321, 0.21749533716375707, 0.002522291456602932, 0.7249723398085939]",2401.618753947144,2435.2228273394853,-1192.809376973572,493,0.7085255848546694
ip,gaussian_contextualPrior,"[0.24815387912021836, 0.1000017993780784, 0.4162045704240154, 0.0010000000000000009, 0.27966603112174204, 0.24940763096710727, 0.02144145493293763, 0.9986377606435155]",2448.483556359276,2482.0876297516174,-1216.241778179638,493,47.57332799698679
ip,lognorm_contextualPrior,"[0.13263455033302307, 0.23500514268875117, 1.0251833033561706, 0.0010000000000000009, 0.5898493957519532, 0.1910637080669403, 1.821517944335105e-05, 0.7493796252727508]",2401.580307063411,2435.1843804557525,-1192.7901535317055,493,0.6700787011218381
ip,lognorm_sharedPrior,"[0.15411990284919738, 0.229946231842041, 1.140194368362427, 0.9360814243078233, 0.5956486320495606, 0.1886644572019577, 0.00015793889760970514]",2400.910228362289,2430.313792580588,-1193.4551141811446,493,0.0
ip,gaussian_sharedPrior,"[0.24719846546649932, 0.10013491630554194, 0.4218256235122681, 0.9784029127180577, 0.31865159988403324, 0.24513055980205536, 0.03434751033782958]",2447.3654616813315,2476.7690258996304,-1216.6827308406657,493,46.455233319042236
ip,logLinearMismatch_sharedPrior,"[0.1367870092391968, 0.22704603195190431, 1.3179201316833495, 0.9999999047279359, 0.5432545471191406, 0.18274426460266113, 2.2649765014648438e-06]",2402.4373802433493,2431.840944461648,-1194.2186901216746,493,1.5271518810600355
LN01,lognorm_contextualPrior,"[0.11943354449513208, 0.3718345903536464, 0.6419668813529642, 0.9984139381821325, 1.5178548229765148, 0.00019539850009095416, 0.03970586044024457, 0.7405625184377146]",1169.9087572158337,1200.2528660829068,-576.9543786079169,328,22.17387126373501
LN01,logLinearMismatch_contextualPrior,"[0.0404959473761778, 0.4027225849839373, 0.7208947089746038, 0.6639473582749577, 1.481202317985444, 1.518886196549829e-05, 0.008417590695745492, 0.9989910529359843]",1183.654268888076,1213.9983777551492,-583.827134444038,328,35.91938293597741
LN01,gaussian_contextualPrior,"[7.459908374157775e-05, 0.19483789438372578, 0.18706122101639377, 0.27089236156579155, 0.7570296861244514, 6.55285380443682e-07, 1.1823516494757769e-05, 0.5036824932392351]",1148.6973055427932,1179.0414144098663,-566.3486527713966,328,0.9624195906944806
LN01,logLinearMismatch_sharedPrior,"[0.11352187782758846, 0.3699493958009407, 0.7010275219206232, 0.9913408940377937, 1.600212190328166, 1.129751035477966e-05, 0.0001911388404550879]",1178.5532106883927,1205.1043059470817,-582.2766053441964,328,30.818324736294016
LN01,lognorm_sharedPrior,"[0.04631990195803154, 0.4359284143702098, 0.7647211457386585, 0.9999237274679058, 1.6983889399457257, 0.00012761030802721507, 8.650080235372837e-06]",1172.3535803287361,1198.9046755874251,-579.1767901643681,328,24.61869437663745
LN01,gaussian_sharedPrior,"[0.06818589104805142, 0.17212962893769146, 0.3790975129045546, 0.9999999999069609, 0.5219413833320141, 0.00014635145198553523, 0.0]",1147.7348859520987,1174.2859812107877,-566.8674429760493,328,0.0
