,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetAudio,recordedOffsetAudio,recordedDurAudio,modalityPostCue
121,0.5002,0.0,2,0.5169,0.5086,0.7837,121,2.7013,-0.2207,-0.1084,0.3919,5,1D1U,1.0,True,2.174,8,False,left,0.0,1.7881567000001723,2.1802212000000054,0.39206449999983306,0.5048842999999579,1.004902900000161,0.5000186000002032,
122,0.5002,0.0,1,0.4335,0.4252,0.4335,122,2.0092,-0.5622,-0.2835,0.2168,5,2U1D,2.0,True,0.492,7,True,right,0.0,0.42333080000003065,0.6396976000000905,0.2163668000000598,1.0731657000001178,1.57305620000011,0.49989049999999224,
123,0.5002,0.0,1,0.5919,0.5753,0.1918,123,2.201,-0.3105,-0.1584,0.3418,5,1D1U,2.0,True,1.416,8,False,right,0.0,0.5812118999999711,0.9394176999999218,0.3582057999999506,1.1060309999998026,1.6059909999999036,0.499960000000101,
124,0.5002,0.0,2,0.6336,0.5419,0.8254,124,2.8012,-0.4002,-0.2001,0.3001,5,1D1U,1.0,True,1.108,8,False,left,0.0,1.947080299999925,2.2555814999998347,0.30850119999990966,0.6223626999999397,1.1223196999999345,0.4999569999999949,
125,0.5002,0.0,2,0.4502,0.6336,0.8587,125,3.1013,0.3147,0.1584,0.6586,5,2D1U,2.0,True,0.157,7,True,right,0.0,1.8012952000001405,2.4594399000000067,0.6581446999998661,0.4426597000001493,0.9426836000000094,0.5000238999998601,
126,0.5002,0.0,1,0.642,0.4335,0.642,126,2.7013,-0.0249,-0.0083,0.4836,5,1U1D,1.0,False,0.775,12,False,left,0.0,0.63448110000013,1.1260641000001215,0.49158299999999144,1.751465000000053,2.2515026999999463,0.5000376999998934,
127,0.5002,0.0,2,0.5002,0.5836,0.5586,127,2.4011,-0.49,-0.2418,0.2585,5,1D1U,1.0,True,1.626,8,False,left,0.0,1.5467416000001322,1.8053161000000273,0.2585744999998951,0.4888284000001022,0.9882755999999517,0.49944719999984954,
128,0.5002,0.0,2,0.6336,0.4252,0.6086,128,2.376,-0.5798,-0.2918,0.2084,5,1D1U,1.0,True,0.75,8,False,left,0.0,1.729906400000118,1.938464900000099,0.208558499999981,0.6215916999999536,1.1218321999999716,0.5002405000000181,
129,0.5002,0.0,2,0.5002,0.6503,0.8004,129,2.6679,-0.5622,-0.2835,0.2168,5,2U1D,1.0,True,0.607,7,True,left,0.0,1.7891750999999658,2.0142157000000225,0.22504060000005666,0.48951480000005176,0.9887948999999026,0.4992800999998508,
130,0.5002,0.0,1,0.4252,0.4752,0.2585,130,2.2677,0.2249,0.1084,0.6086,5,2D1U,1.0,True,1.241,8,True,left,0.0,0.41638510000007045,1.0327669000000697,0.6163817999999992,1.2748552000000473,1.7747880000001715,0.4999328000001242,
