,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
31,0.5003,0.0,1,0.6504,0.4253,0.075,31,1.9345,-0.432,-0.2168,0.2835,5,1U1D,1.0,False,3.424,2,False,left,0.0,0.6411118999822065,0.9241716000251472,0.2830597000429407,0.9994831000221893,1.4996191000100225,0.5001359999878332,
32,0.5003,0.0,1,0.4836,0.4419,0.517,32,1.9928,-0.9,-0.4503,0.05,5,lapse_rate,2.0,True,0.291,0,False,right,0.0,0.4734118999913335,0.5232229999965057,0.04981110000517219,1.039588299987372,1.5397687000222504,0.5001804000348784,
33,0.5003,0.0,1,0.4503,0.617,0.4169,33,2.0679,-0.84,-0.4169,0.0834,5,2U1D,2.0,True,1.691,1,False,right,0.0,0.44051390001550317,0.5238421999965794,0.08332829998107627,0.9494048000196926,1.4488160000182688,0.4994111999985762,
34,0.5003,0.0,1,0.5587,0.617,0.6254,34,3.0602,0.52,0.2585,0.7588,5,2D1U,1.0,True,0.891,1,True,left,0.0,0.5499987999792211,1.3084619999863207,0.7584632000070997,1.9334422000101767,2.433301399985794,0.49985919997561723,
35,0.5003,0.0,1,0.5253,0.5587,0.8088,35,3.1185,0.448,0.2251,0.7254,5,1D1U,1.0,True,3.1,4,True,left,0.0,0.5157162000541575,1.2409258999978192,0.7252096999436617,2.0490606000530533,2.5490236000041477,0.4999629999510944,
36,0.5003,0.0,1,0.6254,0.5003,0.2251,36,2.1013,-0.504,-0.2502,0.2502,5,1U1D,1.0,False,1.567,3,True,left,0.0,0.6154088000184856,0.8649816000252031,0.24957280000671744,1.098404299991671,1.5987506000092253,0.5003463000175543,
37,0.5003,0.0,2,0.5587,0.5753,0.0083,37,1.6926,-0.9,-0.4503,0.05,5,lapse_rate,2.0,False,4.466,0,False,right,0.0,1.0572843999834731,1.1068949999753386,0.049610599991865456,0.5488455999875441,1.0488879999611527,0.5000423999736086,
38,0.5003,0.0,1,0.4586,0.5003,0.2335,38,2.4181,0.448,0.2251,0.7254,5,2D1U,1.0,True,0.574,2,True,left,0.0,0.4501684000133537,1.1752589999814518,0.7250905999680981,1.4084670000011101,1.908569399965927,0.5001023999648169,
39,0.5003,0.0,1,0.542,0.5837,0.2335,39,2.5516,0.376,0.1918,0.6921,5,1D1U,1.0,True,0.742,4,False,left,0.0,0.5325360000133514,1.2241427999688312,0.6916067999554798,1.4575116999913007,1.9574456000118516,0.49993390002055094,
40,0.5003,0.0,2,0.5003,0.4586,0.592,40,2.2597,-0.576,-0.2918,0.2085,5,1U1D,1.0,True,2.883,3,False,left,0.0,1.5821224999963306,1.7903382999938913,0.20821579999756068,0.49061530001927167,0.9902153000002727,0.499599999981001,
41,0.5003,0.0,1,0.6421,0.5837,0.3419,41,2.1847,-0.768,-0.3836,0.1167,5,2U1D,2.0,True,0.425,2,True,right,0.0,0.633508900005836,0.7502879000385292,0.11677900003269315,1.0920163000118919,1.5919557000161149,0.499939400004223,
42,0.5003,0.0,2,0.5003,0.6337,0.1918,42,2.4765,0.304,0.1501,0.6504,5,1D1U,2.0,True,4.274,4,False,right,0.0,1.1816150000086054,1.83153530000709,0.6499202999984846,0.48967340000672266,0.9898572000092827,0.50018380000256,
43,0.5003,0.0,1,0.5587,0.617,0.6337,43,3.0351,0.448,0.2251,0.7254,5,2D1U,1.0,True,0.375,2,True,left,0.0,0.549085600010585,1.2740112000028603,0.7249255999922752,1.9073783000349067,2.4073983000125736,0.5000199999776669,
44,0.5003,0.0,1,0.4419,0.6337,0.6587,44,3.1852,0.9,0.4503,0.9506,5,lapse_rate,1.0,True,2.858,0,False,left,0.0,0.4322062999708578,1.3820749999722466,0.9498687000013888,2.040573099977337,2.5406145000015385,0.5000414000242017,
45,0.5003,0.0,1,0.5837,0.4169,0.6754,45,2.4265,-0.504,-0.2502,0.2502,5,1U1D,1.0,False,4.591,4,True,left,0.0,0.5750608000089414,0.8248472000123002,0.24978640000335872,1.4997895999695174,2.0001768000074662,0.5003872000379488,
46,0.5003,0.0,2,0.5337,0.4336,0.6421,46,2.2264,-0.768,-0.3836,0.1167,5,2U1D,1.0,True,1.966,2,True,left,0.0,1.6663120000157505,1.7827031000051647,0.11639109998941422,0.5244934000074863,1.0245609999983571,0.5000675999908708,
47,0.5003,0.0,2,0.4253,0.6421,0.8839,47,3.0686,0.232,0.1167,0.617,5,1D1U,2.0,True,3.892,4,False,right,0.0,1.8001424000249244,2.4169410000322387,0.6167986000073142,0.41691070003435016,0.916930700012017,0.5000199999776669,
48,0.5003,0.0,2,0.6004,0.4169,0.1584,48,1.8261,-0.696,-0.3502,0.1501,5,2U1D,2.0,False,1.058,2,False,right,0.0,1.2490492000360973,1.3992136000306346,0.15016439999453723,0.5904987000394613,1.090678200009279,0.5001794999698177,
