,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
82,0.49991,0.1,1,0.41659,0.37493,0.50824,82,2.66618,0.726,0.3666,0.86651,5,2D1U,1.0,True,1.518,3,False,left,0.0,0.426,1.2928,0.8668,1.8008,2.3009,0.5002,A
83,0.49991,1.2,2,0.42492,0.42492,0.62488,83,2.32456,-0.302,-0.14997,0.34993,5,2U1D,1.0,True,0.982,4,False,left,0.0,1.5532,1.9026,0.3494,0.4285,0.9278,0.4993,A
84,0.49991,0.1,2,0.44158,0.34993,0.81651,84,2.40787,-0.402,-0.19996,0.29994,5,3U1D,1.0,True,1.034,2,False,left,0.0,1.7667,2.0664,0.2998,0.4499,0.9507,0.5009,V
85,0.49991,1.2,1,0.20829,0.38326,0.50824,85,2.54952,0.9,0.44992,0.94982,5,lapse_rate,1.0,True,0.693,0,False,left,0.0,0.2129,1.1622,0.9493,1.6707,2.172,0.5013,V
86,0.49991,1.2,2,0.23329,0.31661,0.81651,86,2.59952,0.47,0.23329,0.7332,5,3D1U,2.0,True,1.15,1,False,right,0.0,1.5583,2.2907,0.7324,0.2408,0.741,0.5002,A
87,0.49991,0.1,1,0.41659,0.25829,0.78319,87,2.82449,0.726,0.3666,0.86651,5,2D1U,1.0,True,0.458,3,False,left,0.0,0.4245,1.2914,0.8669,2.0754,2.5754,0.5001,V
88,0.49991,1.2,2,0.24162,0.31661,0.74986,88,2.10794,-0.402,-0.19996,0.29994,5,3U1D,2.0,False,0.859,2,False,right,0.0,1.5001,1.8009,0.3008,0.2504,0.751,0.5006,V
89,0.49991,0.1,2,0.28328,0.21663,0.71653,89,2.43288,0.434,0.21663,0.71653,5,3D1U,2.0,True,0.992,2,True,right,0.0,1.5098,2.227,0.7172,0.2937,0.7932,0.4995,A
90,0.49991,1.2,1,0.25829,0.3416,0.45825,90,1.92465,-0.266,-0.13331,0.3666,5,2U1D,2.0,True,0.242,4,False,right,0.0,0.2666,0.6331,0.3665,1.0917,1.5922,0.5005,V
91,0.49991,1.2,1,0.20829,0.34993,0.62488,91,2.63283,0.9,0.44992,0.94982,5,lapse_rate,2.0,False,0.642,0,False,right,0.0,0.213,1.1638,0.9508,1.7882,2.2879,0.4996,V
92,0.49991,0.1,2,0.43325,0.24162,0.53323,92,1.99129,-0.438,-0.21663,0.28328,5,3U1D,1.0,True,0.649,3,True,left,0.0,1.4713,1.7538,0.2825,0.4372,0.9369,0.4997,A
93,0.49991,1.2,2,0.30828,0.24162,0.7332,93,2.14961,-0.266,-0.13331,0.3666,5,2U1D,1.0,True,0.6,4,False,left,0.0,1.5442,1.9107,0.3666,0.3115,0.8115,0.4999,V
94,0.49991,0.1,2,0.29161,0.3416,0.64155,94,2.61618,0.69,0.3416,0.84151,5,2D1U,2.0,True,0.876,4,True,right,0.0,1.4368,2.2788,0.8421,0.2955,0.7943,0.4988,A
95,0.49991,0.1,1,0.3416,0.32494,0.44992,95,1.66636,-0.9,-0.44992,0.04999,5,lapse_rate,2.0,True,0.541,0,False,right,0.0,0.3478,0.3976,0.0498,0.8486,1.3474,0.4989,V
96,0.49991,1.2,1,0.37493,0.37493,0.44992,96,2.41622,0.434,0.21663,0.71653,5,3D1U,1.0,True,0.9,2,True,left,0.0,0.3781,1.0946,0.7165,1.5455,2.0449,0.4994,V
97,0.49991,0.1,1,0.44158,0.34993,0.69154,97,2.82447,0.69,0.3416,0.84151,5,2D1U,1.0,True,0.408,4,True,left,0.0,0.4491,1.2917,0.8426,1.9834,2.4825,0.4991,A
98,0.49991,0.1,2,0.29161,0.42492,0.44158,98,2.60784,0.9,0.44992,0.94982,5,lapse_rate,2.0,True,0.159,0,False,right,0.0,1.2379,2.1864,0.9485,0.2956,0.7945,0.4988,A
99,0.49991,1.2,2,0.23329,0.42492,0.79152,99,2.3329,-0.23,-0.11664,0.38326,5,2U1D,1.0,True,0.534,4,False,left,0.0,1.53,1.9131,0.383,0.2372,0.7383,0.5011,V
100,0.49991,0.1,2,0.30828,0.29161,0.54157,100,2.3579,0.434,0.21663,0.71653,5,3D1U,2.0,True,0.41,2,True,right,0.0,1.3588,2.0754,0.7166,0.3165,0.8176,0.5011,V
101,0.49991,1.2,2,0.29161,0.25829,0.68321,101,2.0163,-0.438,-0.21663,0.28328,5,3U1D,1.0,True,0.392,3,True,left,0.0,1.4846,1.7679,0.2832,0.3002,0.8005,0.5003,V
102,0.49991,0.1,1,0.29161,0.23329,0.64155,102,2.36623,0.398,0.19996,0.69987,5,3D1U,1.0,True,2.184,2,False,left,0.0,0.3008,1.0001,0.6993,1.641,2.1409,0.4999,A
103,0.49991,0.1,2,0.28328,0.34993,0.85817,103,2.94111,0.9,0.44992,0.94982,5,lapse_rate,2.0,True,0.409,0,False,right,0.0,1.647,2.5974,0.9504,0.2881,0.7889,0.5008,V
104,0.49991,1.2,2,0.26662,0.32494,0.75819,104,2.13294,-0.438,-0.21663,0.28328,5,3U1D,2.0,False,0.991,3,True,right,0.0,1.5279,1.8114,0.2836,0.2695,0.7689,0.4994,A
105,0.49991,0.1,2,0.23329,0.41659,0.59989,105,2.13294,-0.23,-0.11664,0.38326,5,2U1D,1.0,True,0.309,4,False,left,0.0,1.3372,1.7202,0.383,0.2364,0.7375,0.5011,A
106,0.49991,1.2,1,0.33327,0.31661,0.8915,106,2.86614,0.654,0.32494,0.82485,5,2D1U,1.0,True,1.051,4,False,left,0.0,0.338,1.1641,0.8261,2.056,2.555,0.499,A
107,0.49991,0.1,2,0.33327,0.27495,0.7082,107,2.21626,-0.194,-0.09998,0.39993,5,2U1D,1.0,True,2.442,4,False,left,0.0,1.549,1.9497,0.4008,0.3413,0.8417,0.5004,V
108,0.49991,1.2,1,0.43325,0.34993,0.5249,108,2.07461,-0.474,-0.23329,0.26662,5,3U1D,2.0,True,0.893,3,False,right,0.0,0.437,0.7023,0.2653,1.2279,1.7273,0.4994,A
109,0.49991,1.2,2,0.25829,0.22496,0.43325,109,1.4664,-0.9,-0.44992,0.04999,5,lapse_rate,1.0,True,1.067,0,False,left,0.0,1.1963,1.2456,0.0494,0.2629,0.7623,0.4994,A
110,0.49991,0.1,1,0.31661,0.37493,0.62488,110,2.64118,0.654,0.32494,0.82485,5,2D1U,1.0,True,0.251,4,False,left,0.0,0.3234,1.1481,0.8246,1.7732,2.2727,0.4995,V
111,0.49991,1.2,1,0.3416,0.3416,0.45825,111,2.34123,0.398,0.19996,0.69987,5,3D1U,1.0,True,0.268,2,False,left,0.0,0.35,1.0506,0.7006,1.5087,2.0089,0.5002,V
112,0.49991,0.1,2,0.31661,0.21663,0.42492,112,1.72469,-0.474,-0.23329,0.26662,5,3U1D,1.0,True,0.441,3,False,left,0.0,1.2495,1.5162,0.2667,0.3246,0.8246,0.5,A
113,0.49991,1.2,1,0.37493,0.39159,0.84984,113,2.5162,-0.194,-0.09998,0.39993,5,2U1D,2.0,True,0.192,4,False,right,0.0,0.3844,0.7844,0.4,1.6343,2.1352,0.501,A
114,0.49991,0.1,1,0.34993,0.37493,0.59989,114,2.52453,0.398,0.19996,0.69987,5,3D1U,1.0,True,0.534,2,False,left,0.0,0.356,1.056,0.7,1.6552,2.1559,0.5007,A
115,0.49991,1.2,2,0.39993,0.31661,0.87484,115,2.89947,0.618,0.30828,0.80818,5,2D1U,2.0,True,0.184,4,False,right,0.0,1.7845,2.5927,0.8082,0.4104,0.9104,0.4999,V
116,0.49991,0.1,1,0.34993,0.3416,0.68321,116,1.92464,-0.9,-0.44992,0.04999,5,lapse_rate,2.0,True,0.151,0,False,right,0.0,0.3525,0.403,0.0505,1.0868,1.5876,0.5008,A
117,0.49991,0.1,1,0.24995,0.28328,0.44158,117,2.15793,0.362,0.1833,0.68321,5,3D1U,1.0,True,0.551,2,False,left,0.0,0.2546,0.9376,0.683,1.3797,1.8794,0.4997,A
118,0.49991,1.2,2,0.28328,0.38326,0.45825,118,1.89132,-0.474,-0.23329,0.26662,5,3U1D,1.0,True,0.266,3,False,left,0.0,1.2494,1.5179,0.2684,0.2913,0.7922,0.5009,A
