sigma_a,sigma_v,conflict_max,p_c,lambda,lognorm__vs__fusionOnlyLogNorm,lognorm__vs__switchingFree,lognorm__vs__probabilityMatchingLogNorm,lognorm__vs__selection,fusionOnlyLogNorm__vs__switchingFree,fusionOnlyLogNorm__vs__probabilityMatchingLogNorm,fusionOnlyLogNorm__vs__selection,switchingFree__vs__probabilityMatchingLogNorm,switchingFree__vs__selection,probabilityMatchingLogNorm__vs__selection,mean_pairwise
0.05,0.05,0.35,0.5,0.05,0.20882114197530866,0.1603388888888889,0.20288657407407407,0.06332746913580246,0.13029367283950616,0.011089197530864197,0.20378966049382716,0.12449984567901237,0.1447577160493827,0.1971631172839506,0.14469672839506173
0.05,0.05,0.35,0.7,0.05,0.20638456790123458,0.22584490740740737,0.19794305555555555,0.07373935185185185,0.11871774691358025,0.013965586419753089,0.18743441358024687,0.1159996913580247,0.1937824074074074,0.1817256172839506,0.15155373456790122
0.05,0.05,0.45,0.3,0.05,0.26138487654320985,0.10894506172839506,0.25868441358024685,0.05691496913580246,0.19072129629629625,0.0076381172839506154,0.26606157407407405,0.18498317901234568,0.10637947530864196,0.26222932098765434,0.17039422839506171
0.05,0.05,0.45,0.5,0.05,0.2603733024691358,0.17887268518518515,0.2560162037037037,0.06302839506172839,0.15098549382716048,0.00967006172839506,0.2542041666666666,0.14364351851851853,0.16403040123456789,0.2474486111111111,0.17282728395061728
0.05,0.05,0.45,0.7,0.05,0.25770216049382716,0.24994675925925924,0.25294043209876543,0.07505879629629629,0.12438842592592593,0.011095061728395061,0.23805416666666665,0.12006651234567899,0.21865246913580247,0.2305186728395062,0.17784234567901233
0.05,0.05,0.6,0.3,0.05,0.28850312499999997,0.11327100694444445,0.2879720486111111,0.057887326388888875,0.20511753472222224,0.00689739583333333,0.2927088541666667,0.19956597222222225,0.1126277777777778,0.290403125,0.18549541666666663
0.05,0.05,0.6,0.5,0.05,0.2890276041666666,0.18847934027777777,0.2877180555555555,0.06311232638888889,0.1651284722222222,0.008322395833333333,0.27988715277777776,0.15680607638888888,0.17365208333333332,0.2759321180555555,0.1888065625
0.05,0.05,0.6,0.7,0.05,0.28699565972222224,0.2617777777777778,0.28477569444444445,0.07486197916666666,0.12570677083333331,0.009556076388888883,0.2664420138888889,0.11819583333333333,0.23216614583333334,0.25968975694444446,0.19201677083333332
0.1,0.1,0.083,0.3,0.05,0.03477469135802469,0.025400771604938276,0.01534074074074074,0.10852283950617284,0.045204166666666656,0.02328672839506173,0.12809166666666666,0.026397685185185184,0.08475817901234568,0.11062222222222222,0.060239969135802464
0.1,0.1,0.083,0.5,0.05,0.025145679012345674,0.03825802469135802,0.012795679012345683,0.08882206790123458,0.04412222222222223,0.032675308641975306,0.10016342592592593,0.031174074074074076,0.05747793209876543,0.07763317901234566,0.05082675925925926
0.1,0.1,0.083,0.7,0.05,0.017196759259259262,0.047869444444444444,0.025169135802469142,0.08082330246913581,0.0448054012345679,0.04056558641975309,0.08800987654320988,0.05176327160493828,0.053631018518518515,0.06552947530864198,0.05153632716049383
0.1,0.1,0.167,0.3,0.05,0.07745138888888889,0.04313117283950617,0.052549074074074074,0.10854629629629631,0.07250200617283951,0.027588117283950622,0.14928194444444445,0.049611111111111106,0.07833395061728395,0.12616820987654323,0.07851632716049384
0.1,0.1,0.167,0.5,0.05,0.06486975308641976,0.06776373456790123,0.035912345679012345,0.09404706790123457,0.06591651234567901,0.04001141975308642,0.11274799382716048,0.052991820987654314,0.06049506172839506,0.08934984567901236,0.06841055555555556
0.1,0.1,0.167,0.7,0.05,0.05122083333333334,0.09140231481481483,0.03339367283950618,0.08538858024691358,0.068745987654321,0.05327623456790124,0.09323194444444444,0.08574043209876543,0.06904212962962963,0.07593256172839506,0.07073746913580246
0.1,0.1,0.25,0.3,0.05,0.12832037037037036,0.06330987654320988,0.1060452160493827,0.11297962962962964,0.10128641975308642,0.026168981481481474,0.17067746913580245,0.08089953703703703,0.07803487654320988,0.1500442901234568,0.10177666666666667
0.1,0.1,0.25,0.5,0.05,0.11512006172839508,0.10289614197530864,0.08486666666666667,0.1102175925925926,0.08862854938271604,0.039208024691358034,0.1311996913580247,0.07451929012345679,0.0698162037037037,0.10831759259259258,0.09247898148148147
0.1,0.1,0.25,0.7,0.05,0.10267037037037037,0.1437050925925926,0.07000385802469135,0.10826188271604939,0.08901558641975307,0.0538304012345679,0.10368194444444445,0.10586049382716049,0.08836172839506172,0.08815061728395061,0.09535419753086419
0.1,0.1,0.35,0.3,0.05,0.1914337962962963,0.08067083333333333,0.16983595679012348,0.1191223765432099,0.14195462962962963,0.024301234567901224,0.21334537037037035,0.1207496913580247,0.08037469135802469,0.191079012345679,0.13328675925925929
0.1,0.1,0.35,0.5,0.05,0.1778054012345679,0.12990077160493826,0.14367870370370373,0.12950787037037037,0.11115,0.03935756172839506,0.1616817901234568,0.09641033950617284,0.077079012345679,0.13923657407407408,0.1205808024691358
0.1,0.1,0.35,0.7,0.05,0.16422391975308642,0.17987839506172842,0.12538533950617284,0.13564182098765434,0.099166512345679,0.05578024691358025,0.12480185185185186,0.11047854938271603,0.09416435185185186,0.10983055555555554,0.11993515432098767
0.1,0.1,0.45,0.3,0.05,0.23944984567901234,0.08869305555555555,0.21642407407407405,0.12459660493827159,0.17270648148148146,0.024790895061728387,0.24464552469135803,0.1515162037037037,0.07885879629629632,0.2225111111111111,0.15641925925925926
0.1,0.1,0.45,0.5,0.05,0.2259064814814815,0.14719135802469135,0.19225478395061726,0.1432945987654321,0.12966913580246914,0.03795601851851851,0.1861912037037037,0.11295910493827162,0.07965046296296296,0.16176388888888887,0.1416837037037037
0.1,0.1,0.45,0.7,0.05,0.2110817901234568,0.20342608024691358,0.1682936728395062,0.1590194444444444,0.10278472222222221,0.05357824074074074,0.14034197530864198,0.11167777777777778,0.09583564814814816,0.1273439814814815,0.1373383333333333
0.1,0.1,0.6,0.3,0.05,0.26050121527777775,0.09065572916666666,0.23704479166666667,0.12381336805555557,0.18697187499999998,0.026029340277777778,0.26252326388888886,0.16409600694444448,0.07881041666666667,0.23949565972222223,0.16699416666666667
0.1,0.1,0.6,0.5,0.05,0.24624461805555553,0.15057170138888887,0.20941232638888885,0.14643524305555555,0.14026354166666666,0.04077083333333333,0.19990902777777778,0.11494340277777779,0.08148229166666665,0.171059375,0.1501092361111111
0.1,0.1,0.6,0.7,0.05,0.22848819444444443,0.20611041666666663,0.17854392361111113,0.16480520833333334,0.10165,0.05968836805555555,0.14734236111111113,0.10220086805555556,0.09531006944444445,0.12494809027777778,0.14090875
0.15,0.15,0.083,0.3,0.05,0.03714089506172841,0.032050771604938265,0.01674228395061729,0.12571373456790125,0.05626111111111111,0.02812175925925926,0.15117901234567901,0.03173996913580247,0.09614351851851852,0.12754336419753087,0.07026364197530864
0.15,0.15,0.083,0.5,0.05,0.02652669753086419,0.04364135802469136,0.01763950617283951,0.09958287037037036,0.05506188271604938,0.03951003086419753,0.11522561728395063,0.03191882716049382,0.06084984567901234,0.08521558641975308,0.05751722222222222
0.15,0.15,0.083,0.7,0.05,0.017677623456790127,0.05183070987654321,0.03603842592592593,0.1001986111111111,0.053663271604938285,0.05080740740740741,0.10802438271604939,0.05143487654320988,0.06027808641975308,0.07478024691358025,0.06047336419753087
0.15,0.15,0.167,0.3,0.05,0.0714962962962963,0.041169598765432094,0.04014922839506173,0.12503055555555556,0.07498256172839507,0.03539922839506174,0.16564598765432098,0.04641512345679012,0.09187145061728394,0.1378878086419753,0.08300478395061728
